key,_locations,en,fr
Numbers on this level:,res://scenes/left_ui.tscn,Numbers on this level:,Nombres dans ce niveau :
12,res://scenes/left_ui.tscn,12,12
Numbers on this f[font_size=1] [/font_size]loor,res://scenes/left_ui.tscn,Numbers on this f[font_size=1] [/font_size]loor,Nombres dans ce niveau
Floor 50,res://scenes/levels_map.tscn,Floor 50,Niveau 50
Question,res://scenes/level_scene.tscn,Question,Question
3,res://scenes/level_scene.tscn,3,3
1,res://scenes/level_scene.tscn,1,1
Wait!,res://scenes/level_scene.tscn,Wait!,Attention !
"


To enter the door of your choice, you must first select the number you think is in the bronze cage.

Just click on that cage to assign a number.

You can also do the same with the other cages.

Each correct guess will grant you one gold coin upon entering the correct door.",res://scenes/level_scene.tscn,"


To enter the door of your choice, you must first select the number you think is in the bronze cage.

Just click on that cage to assign a number.

You can also do the same with the other cages.

Each correct guess will grant you one gold coin upon entering the correct door.","


Pour entrer dans la porte de ton choix, tu dois d’abord sélectionner le nombre que tu penses être dans la cage de bronze.

Clique dessus pour lui assigner un nombre.

Tu peux aussi faire la même chose avec les autres cages.

Chaque nombre correct te fera gagner une pièce après être passé par la bonne porte."
 Click here to continue ,"res://scenes/level_scene.tscn
res://scenes/tutorial_scene.tscn", Click here to continue , Clique ici pour continuer 
"Oh no... You lost all your lives.

Clicking on the retry button here will grant you one life potion for your next run.",res://scenes/lose_scene.tscn,"Oh no... You lost all your lives.

Clicking on the retry button here will grant you one life potion for your next run.","Oh non... Tu as perdu toutes tes vies.

Cliquer sur le bouton Réessayer te donnera une potion de vie pour ta prochaine partie."
  Main Menu  ,"res://scenes/lose_scene.tscn
res://scenes/win_scene.tscn",  Main Menu  ,  Menu Principal  
  Retry (+1     )  ,res://scenes/lose_scene.tscn,  Retry (+1     )  ,  Réessayer (+1     )  
  Retry(+1[img width=44 height=44]uid://cdi2td1nhnx3c[/img]),res://scenes/lose_scene.tscn,  Retry(+1[img width=44 height=44]uid://cdi2td1nhnx3c[/img]),  Réessayer(+1[img width=44 height=44]uid://cdi2td1nhnx3c[/img])
"Alright, I'll tell you. The correct door is the right one.",res://scenes/number_cage.tscn,"Alright, I'll tell you. The correct door is the right one.","Ok, je vais te dire. La bonne porte est celle de droite."
A,res://scenes/number_cage.tscn,A,A
50 G,res://scenes/shop_item.tscn,50 G,50 G
